	-1.35	-1.4	-1.3	8.405	+0.092	-0.092	+0.503	-0.503	17.004	+0.128	-0.128	+0.648	-0.648	23.13	+0.19	-0.19	+0.752	-0.752	27.74	+0.221	-0.221	+0.795	-0.795	34.229	+0.268	-0.268	+0.981	-0.981	41.355	+0.349	-0.349	+1.142	-1.142	50.148	+0.492	-0.492	+1.367	-1.367	64.829	+0.543	-0.543	+1.989	-1.989
	-1.25	-1.3	-1.2	8.358	+0.092	-0.092	+0.497	-0.497	16.955	+0.127	-0.127	+0.643	-0.643	22.967	+0.189	-0.189	+0.745	-0.745	27.593	+0.221	-0.221	+0.789	-0.789	33.913	+0.268	-0.268	+0.97	-0.97	41.222	+0.35	-0.35	+1.137	-1.137	49.398	+0.487	-0.487	+1.344	-1.344	63.821	+0.536	-0.536	+1.948	-1.948
	-1.15	-1.2	-1.1	8.338	+0.092	-0.092	+0.494	-0.494	16.803	+0.127	-0.127	+0.637	-0.637	22.773	+0.189	-0.189	+0.74	-0.74	27.499	+0.221	-0.221	+0.79	-0.79	33.617	+0.266	-0.266	+0.966	-0.966	40.643	+0.347	-0.347	+1.127	-1.127	49.149	+0.488	-0.488	+1.345	-1.345	63.543	+0.539	-0.539	+1.944	-1.944
	-1.05	-1.1	-1.0	8.325	+0.092	-0.092	+0.489	-0.489	16.755	+0.126	-0.126	+0.628	-0.628	22.577	+0.188	-0.188	+0.724	-0.724	27.122	+0.219	-0.219	+0.768	-0.768	33.44	+0.267	-0.267	+0.946	-0.946	40.183	+0.346	-0.346	+1.096	-1.096	48.526	+0.485	-0.485	+1.307	-1.307	61.893	+0.527	-0.527	+1.857	-1.857
	-0.95	-1.0	-0.9	8.227	+0.091	-0.091	+0.479	-0.479	16.621	+0.126	-0.126	+0.615	-0.615	22.376	+0.187	-0.187	+0.707	-0.707	26.896	+0.219	-0.219	+0.748	-0.748	32.895	+0.264	-0.264	+0.915	-0.915	39.826	+0.344	-0.344	+1.066	-1.066	47.852	+0.482	-0.482	+1.265	-1.265	61.441	+0.527	-0.527	+1.804	-1.804
	-0.8500000000000001	-0.9	-0.8	8.222	+0.091	-0.091	+0.477	-0.477	16.442	+0.125	-0.125	+0.61	-0.61	22.163	+0.186	-0.186	+0.703	-0.703	26.63	+0.217	-0.217	+0.746	-0.746	32.577	+0.262	-0.262	+0.912	-0.912	39.377	+0.342	-0.342	+1.063	-1.063	47.28	+0.477	-0.477	+1.26	-1.26	60.333	+0.519	-0.519	+1.781	-1.781
	-0.75	-0.8	-0.7	8.149	+0.09	-0.09	+0.471	-0.471	16.225	+0.123	-0.123	+0.599	-0.599	22.028	+0.185	-0.185	+0.696	-0.696	26.331	+0.216	-0.216	+0.736	-0.736	32.178	+0.26	-0.26	+0.899	-0.899	38.857	+0.339	-0.339	+1.047	-1.047	46.669	+0.473	-0.473	+1.241	-1.241	60.375	+0.524	-0.524	+1.774	-1.774
	-0.6499999999999999	-0.7	-0.6	8.1	+0.09	-0.09	+0.464	-0.464	16.126	+0.123	-0.123	+0.586	-0.586	21.662	+0.183	-0.183	+0.671	-0.671	25.999	+0.214	-0.214	+0.708	-0.708	31.758	+0.258	-0.258	+0.864	-0.864	38.231	+0.336	-0.336	+1.002	-1.002	46.079	+0.47	-0.47	+1.191	-1.191	59.273	+0.517	-0.517	+1.69	-1.69
	-0.55	-0.6	-0.5	8.047	+0.09	-0.09	+0.46	-0.46	16.006	+0.122	-0.122	+0.584	-0.584	21.489	+0.182	-0.182	+0.67	-0.67	25.816	+0.212	-0.212	+0.71	-0.71	31.519	+0.256	-0.256	+0.867	-0.867	37.665	+0.331	-0.331	+0.999	-0.999	44.869	+0.46	-0.46	+1.175	-1.175	58.196	+0.509	-0.509	+1.677	-1.677
	-0.45	-0.5	-0.4	7.997	+0.087	-0.087	+0.456	-0.456	15.871	+0.122	-0.122	+0.578	-0.578	21.249	+0.181	-0.181	+0.661	-0.661	25.482	+0.214	-0.214	+0.7	-0.7	31.055	+0.259	-0.259	+0.853	-0.853	37.451	+0.337	-0.337	+0.991	-0.991	44.685	+0.475	-0.475	+1.167	-1.167	56.825	+0.519	-0.519	+1.631	-1.631
	-0.35	-0.4	-0.3	7.94	+0.087	-0.087	+0.454	-0.454	15.702	+0.121	-0.121	+0.576	-0.576	21.136	+0.18	-0.18	+0.665	-0.665	25.15	+0.211	-0.211	+0.701	-0.701	30.732	+0.257	-0.257	+0.856	-0.856	36.836	+0.334	-0.334	+0.991	-0.991	44.065	+0.469	-0.469	+1.17	-1.17	56.576	+0.519	-0.519	+1.649	-1.649
	-0.25	-0.3	-0.2	7.958	+0.087	-0.087	+0.451	-0.451	15.588	+0.121	-0.121	+0.562	-0.562	20.873	+0.179	-0.179	+0.641	-0.641	25.009	+0.21	-0.21	+0.677	-0.677	30.311	+0.254	-0.254	+0.82	-0.82	36.321	+0.33	-0.33	+0.946	-0.946	43.376	+0.465	-0.465	+1.115	-1.115	55.315	+0.509	-0.509	+1.559	-1.559
	-0.15000000000000002	-0.2	-0.1	7.923	+0.088	-0.088	+0.448	-0.448	15.57	+0.12	-0.12	+0.559	-0.559	20.736	+0.178	-0.178	+0.635	-0.635	24.842	+0.21	-0.21	+0.669	-0.669	30.104	+0.254	-0.254	+0.81	-0.81	35.825	+0.326	-0.326	+0.928	-0.928	42.865	+0.46	-0.46	+1.096	-1.096	54.983	+0.508	-0.508	+1.54	-1.54
